windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000003254,707.2758,8.662,977327,862747,585597,670714,915818
window000003256,655.3083,8.681,5321160,4399586,4628665,4258149,4517404
window000003263,457.1965,8.68,13198996,16396754,18070176,20799550,20297748
window000003278,535.2009,8.689,12029736,13536048,11538185,14727953,14983187
window000003283,566.1303,8.687,3354858,3595776,2518788,3368218,3467790
window000003288,521.1319,8.686,2112437,2246938,2399066,2502943,2436385
window000003291,467.4824,8.692,2410481,2129690,2352988,2005374,2642798
window000003293,484.2035,8.687,10662527,9807470,10323217,10673987,10629250
window000003294,634.1177,8.684,792736,876002,659118,858628,764182
window000003295,603.1887,8.683,1198928,1264583,1017948,1062586,1281770
window000003299,509.2238,8.684,1040867,846012,1036082,1162923,727922
window000003312,333.1093,8.714,9243728,8813589,9119226,8215792,9710303
window000003314,289.1424,8.709,2345343,2013520,1965170,1802328,1888310
window000003320,401.0966,8.71,797538,708957,812998,753240,782948
window000003324,579.2079,8.772,10450331,10112336,11317816,9213508,10571676
window000003327,581.2192,8.765,2349815,2392626,2326404,2082552,2269274
window000003331,403.0973,8.753,198796,227138,268440,156844,247720
window000003333,471.0751,8.842,2187045,2025424,2281700,1865524,2090570
window000003334,517.2841,8.775,334665,340043,348740,307598,315350
window000003336,640.3028,8.751,384879,377509,434860,333562,414076
window000003339,569.1798,8.774,442181,586855,660662,657726,634427
window000003343,477.2345,8.785,1544689,1328894,1387710,1247133,1451923
window000003344,269.1577,8.79,393659,351108,382855,319243,374352
window000003345,277.0354,8.891,5719534,5154788,6342894,4885257,5493756
window000003349,441.083,8.912,18396006,16756061,19393014,16404627,18059000
window000003351,459.2238,8.821,4179980,3885141,4313848,3488844,3803333
window000003355,621.2769,8.809,818186,812640,920758,712673,847806
window000003356,509.0702,8.908,2085037,2047196,2127200,1925559,2023633
window000003357,229.0616,8.828,241760,225680,196820,167792,213588
window000003361,629.209,8.846,1124793,1011890,1053214,976585,1033278
window000003362,459.0939,8.841,1082822,1128051,1241002,960517,1063738
window000003364,445.1142,8.837,463087,437688,497160,382378,467656
window000003365,697.2359,8.858,4338673,4266962,4370614,3833204,4211623
window000003366,467.2138,8.884,12042632,12330304,12266592,10597352,11120480
window000003367,243.1237,8.845,463379,464402,492852,412987,486677
window000003370,655.2825,8.842,326419,321828,351536,327385,274646
window000003371,575.2709,8.857,3096970,3072398,3271744,2730110,2927038
window000003373,559.2197,8.876,695469,632556,587082,655304,636543
window000003379,539.9994,8.895,404297,316131,392767,346850,348400
window000003380,647.3117,8.894,5356951,5441612,5254646,5247864,5202964
window000003384,491.2321,8.884,6821798,6331470,6176614,6558575,6652414
window000003386,387.1562,8.868,661346,664521,607775,525476,673011
window000003393,582.2793,8.887,1082406,1026721,958518,975410,960369
window000003397,351.166,8.901,1570657,1349563,1520754,1301874,1303395
window000003401,305.1607,8.901,381524,424511,461603,377591,371549
window000003403,653.3109,8.946,3833299,3716806,3771016,3142154,3382936
window000003404,710.3068,8.932,619406,575641,734468,573421,666262
window000003405,709.2864,8.944,711302,664331,639651,557690,677250
window000003407,676.3126,8.945,4504608,4278432,5104639,4089085,4117860
window000003411,698.3075,8.934,1550275,1535487,1351601,1438490,1392001
window000003418,199.0969,8.962,359175,374571,399068,351042,372706
window000003420,524.2038,8.954,1255508,1292966,1313872,1137796,1411356
window000003423,367.1035,8.959,302742,310061,335912,275884,287401
window000003424,145.0285,9,4121756,4142105,3959488,3512680,4087788
window000003425,293.0488,9.007,4527689,4333720,4554265,4055646,4257988
window000003428,451.174,8.985,641478,563980,499249,667347,599795
window000003430,361.0546,9.01,513509,521327,506233,467194,539087
window000003431,117.0335,8.996,1546212,1521292,1476274,1431015,1582180
window000003432,315.0489,8.996,985013,875140,898492,812915,945639
window000003433,261.0405,8.994,652231,666120,698378,611004,755583
window000003435,463.2375,9.03,5839824,5779244,6013740,5237032,5896519
window000003437,697.2349,9.014,1185609,1219000,1390902,1102043,1210920
window000003439,661.3076,8.997,511147,464035,528771,362351,434142
window000003440,417.2316,9.038,745840,647696,767276,613907,715667
window000003442,453.2197,9.032,433811,512588,550630,468879,621941
window000003444,501.1041,9.088,834903,783735,916356,766429,806365
window000003447,609.2191,9.024,336813,365779,408982,332829,384266
