"""Compound_tpj""","""met_class""","""Ontology_msdial""","Matching.Attribute","Matching.Attribute.1","Matching.Attribute.2","Modules_comb","Modules_ind","name","selected","shared name"
"NA","""Unk""","""Dipeptides""","""X2447_161.0962_8.06_pos""","""X2447_161.0962_8.06_pos""","""X2447_161.0962_8.06_pos""","39","78","""X2447_161.0962_8.06_pos""","false","""X2447_161.0962_8.06_pos"""
"NA","""Unk""","""Isoflavones""","""X2419_367.1491_4.19_pos""","""X2419_367.1491_4.19_pos""","""X2419_367.1491_4.19_pos""","67","123","""X2419_367.1491_4.19_pos""","false","""X2419_367.1491_4.19_pos"""
"NA","""Unk""","""null""","""X2413_563.3395_7.46_pos""","""X2413_563.3395_7.46_pos""","""X2413_563.3395_7.46_pos""","21","95","""X2413_563.3395_7.46_pos""","false","""X2413_563.3395_7.46_pos"""
"NA","""Unk""","""Prostaglandins and related compounds""","""X1459_517.2103_8.80_pos""","""X1459_517.2103_8.80_pos""","""X1459_517.2103_8.80_pos""","15","122","""X1459_517.2103_8.80_pos""","false","""X1459_517.2103_8.80_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X2401_479.1778_6.22_pos""","""X2401_479.1778_6.22_pos""","""X2401_479.1778_6.22_pos""","66","121","""X2401_479.1778_6.22_pos""","false","""X2401_479.1778_6.22_pos"""
"NA","""Unk""","NA","""X2382_405.1657_8.34_pos""","""X2382_405.1657_8.34_pos""","""X2382_405.1657_8.34_pos""","10","85","""X2382_405.1657_8.34_pos""","false","""X2382_405.1657_8.34_pos"""
"NA","""Unk""","""8-prenylated flavanones""","""X2369_355.1494_3.74_pos""","""X2369_355.1494_3.74_pos""","""X2369_355.1494_3.74_pos""","65","120","""X2369_355.1494_3.74_pos""","false","""X2369_355.1494_3.74_pos"""
"NA","""Unk""","""Unknown""","""X2354_367.1501_3.57_pos""","""X2354_367.1501_3.57_pos""","""X2354_367.1501_3.57_pos""","64","118","""X2354_367.1501_3.57_pos""","false","""X2354_367.1501_3.57_pos"""
"NA","""Unk""","""Flavonoid-3-O-glycosides""","""X23480_477.1070_8.10_pos""","""X23480_477.1070_8.10_pos""","""X23480_477.1070_8.10_pos""","63","117","""X23480_477.1070_8.10_pos""","false","""X23480_477.1070_8.10_pos"""
"NA","""Unk""","""Lignan glycosides""","""X2346_561.1946_6.26_pos""","""X2346_561.1946_6.26_pos""","""X2346_561.1946_6.26_pos""","35","73","""X2346_561.1946_6.26_pos""","false","""X2346_561.1946_6.26_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X22718_365.0690_5.10_pos""","""X22718_365.0690_5.10_pos""","""X22718_365.0690_5.10_pos""","33","101","""X22718_365.0690_5.10_pos""","false","""X22718_365.0690_5.10_pos"""
"NA","""Unk""","""null""","""X22703_234.5830_5.70_pos""","""X22703_234.5830_5.70_pos""","""X22703_234.5830_5.70_pos""","28","115","""X22703_234.5830_5.70_pos""","false","""X22703_234.5830_5.70_pos"""
"NA","""Unk""","""Saccharolipids""","""X2249_469.2057_9.26_pos""","""X2249_469.2057_9.26_pos""","""X2249_469.2057_9.26_pos""","3","114","""X2249_469.2057_9.26_pos""","false","""X2249_469.2057_9.26_pos"""
"NA","""Unk""","""Quinic acids and derivatives""","""X22400_231.0591_6.82_pos""","""X22400_231.0591_6.82_pos""","""X22400_231.0591_6.82_pos""","62","113","""X22400_231.0591_6.82_pos""","false","""X22400_231.0591_6.82_pos"""
"NA","""Unk""","""Ibogan-type alkaloids""","""X2219_337.1020_5.10_pos""","""X2219_337.1020_5.10_pos""","""X2219_337.1020_5.10_pos""","52","88","""X2219_337.1020_5.10_pos""","false","""X2219_337.1020_5.10_pos"""
"NA","""Unk""","""Unknown""","""X22_547.2003_6.19_pos""","""X22_547.2003_6.19_pos""","""X22_547.2003_6.19_pos""","39","85","""X22_547.2003_6.19_pos""","false","""X22_547.2003_6.19_pos"""
"NA","""Unk""","""Monocyclic monoterpenoids""","""X2174_172.1693_12.30_pos""","""X2174_172.1693_12.30_pos""","""X2174_172.1693_12.30_pos""","58","103","""X2174_172.1693_12.30_pos""","false","""X2174_172.1693_12.30_pos"""
"NA","""Unk""","NA","""X163_158.1540_12.30_pos""","""X163_158.1540_12.30_pos""","""X163_158.1540_12.30_pos""","58","103","""X163_158.1540_12.30_pos""","false","""X163_158.1540_12.30_pos"""
"NA","""Unk""","""Naphthalenecarboxylic acids and derivatives""","""X15620_543.3140_7.82_pos""","""X15620_543.3140_7.82_pos""","""X15620_543.3140_7.82_pos""","4","84","""X15620_543.3140_7.82_pos""","false","""X15620_543.3140_7.82_pos"""
"NA","""Unk""","""null""","""X2167_455.1918_9.76_pos""","""X2167_455.1918_9.76_pos""","""X2167_455.1918_9.76_pos""","61","112","""X2167_455.1918_9.76_pos""","false","""X2167_455.1918_9.76_pos"""
"NA","""Unk""","""Anthocyanidin-3-O-glycosides""","""X2164_433.1133_8.10_pos""","""X2164_433.1133_8.10_pos""","""X2164_433.1133_8.10_pos""","60","111","""X2164_433.1133_8.10_pos""","false","""X2164_433.1133_8.10_pos"""
"NA","""Unk""","""Fatty acyl glycosides of mono- and disaccharides""","""X2154_440.2493_6.40_pos""","""X2154_440.2493_6.40_pos""","""X2154_440.2493_6.40_pos""","48","75","""X2154_440.2493_6.40_pos""","false","""X2154_440.2493_6.40_pos"""
"NA","""Unk""","""Unknown""","""X2150_249.1574_4.87_pos""","""X2150_249.1574_4.87_pos""","""X2150_249.1574_4.87_pos""","10","85","""X2150_249.1574_4.87_pos""","false","""X2150_249.1574_4.87_pos"""
